event_id,event_type,timestamp,user_id,source,success
209756e7-bde0-462f-80f7-9c9a3965ea50,download,2026-02-03T08:12:23.977855,user_48,mobile,True
dad259cf-cbd4-4b25-ab09-5d7ff5ae33ab,download,2026-02-08T22:58:23.977855,user_30,api,False
ad9d659f-837d-44e7-b88a-f862aa25b279,logout,2026-02-08T07:23:23.977855,user_26,mobile,False
499fa348-5437-4925-b555-f5093e57e6de,download,2026-02-03T18:34:23.977855,user_38,api,True
a348e261-9065-4949-b902-4b828113160f,logout,2026-02-03T14:52:23.977855,user_50,api,True
80fcfa7b-c4c5-48a8-a43e-b22935e5be61,download,2026-02-08T08:38:23.977855,user_50,web,True
f36695cb-043d-4784-ad09-77013d525b22,download,2026-02-04T18:28:23.977855,user_43,api,True
3d57ce68-a078-47fb-b31a-c6e9615898bb,login,2026-02-09T15:37:23.977855,user_39,web,True
b4395939-5f0d-400a-9b97-bdbcafe02c14,upload,2026-02-06T14:49:23.977855,user_44,api,False
27c6ae37-f152-4d8e-89c8-806fd1a3fe22,download,2026-02-05T00:15:23.977855,user_37,web,True
55dbf49e-d028-45ee-87e1-f8a40a2e16a9,login,2026-02-04T19:14:23.977855,user_31,mobile,False
e6fdc74a-b502-44b1-913d-9f7f46968500,download,2026-02-03T11:51:23.977855,user_35,mobile,True
ad21960a-5117-400a-af08-7e4029e3bc68,download,2026-02-07T00:15:23.977855,user_27,api,True
aa1e9050-f52f-4221-974e-3afc91050428,download,2026-02-08T08:53:23.977855,user_40,web,True
6d1d07f8-c942-4122-8c85-6e5034b598d2,logout,2026-02-03T17:37:23.977855,user_46,api,True
58dbe0b1-45f7-4850-adde-e4bfbc43763b,upload,2026-02-07T03:12:23.977855,user_45,mobile,True
390d12c3-00b8-4ca3-bbdd-96c25e3c0a39,login,2026-02-03T22:24:23.977855,user_44,api,True
f25439d1-c2d2-4ec2-b15d-1df93e052fc1,logout,2026-02-04T23:07:23.977855,user_47,api,True
341e7821-20d8-4d6b-812d-8f949a84654a,upload,2026-02-09T04:21:23.977855,user_14,web,False
7bd3ef9e-501e-414d-b1ea-302b3a92b07a,download,2026-02-04T16:12:23.977855,user_21,api,True
